ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Your name,What is the date and time of collection?,Where are you recording the point?,"Are there no crops (fallow or pasture), one crop, or multiple crops growing in the field?",Which crop(s) are present in the field?,Other - Which crop(s) are present in the field?,"[OPTIONAL] If you selected multiple crops in the previous question, is there a dominant crop?","Other - [OPTIONAL] If you selected multiple crops in the previous question, is there a dominant crop?",[OPTIONAL] Additional notes,x,y
38,0842a032-d3f3-4e31-a0cd-f6c077fb9b89,2/4/2023 1:25,,2/4/2023 1:25,,Hannah,,On the edge of the field,Multiple crops,"kalo_(taro),other","Corn, tomatoes, sunflowers, flowers etc",,,,-155.9979244,20.77710265
39,4f23aebd-2510-4c8d-aaa2-27c9787a79b5,2/4/2023 1:25,,2/4/2023 1:25,,Hannah,,On the edge of the field,One crop,niu_(coconut),,,,,-156.0362246,20.79808156
40,ad7e9a43-0705-4969-bb2f-277e021afedf,2/4/2023 1:25,,2/4/2023 1:25,,Hannah,,On the edge of the field,Multiple crops,other,Vegetables,,,,-156.2860219,20.81544085
41,0103a362-86b7-4daa-a4bb-1176afd83ab2,2/4/2023 1:25,,2/4/2023 1:25,,Hannah,,On the edge of the field,Multiple crops,other,Vegetables ,,,,-156.3582008,20.79242314
42,bc0248cb-5403-436b-9e2c-15b96046bd67,2/4/2023 1:25,,2/4/2023 1:25,,Hannah,,On the edge of the field,Multiple crops,other,Vegetables ,,,Research fields ,-156.358329,20.792529
43,de1790a2-a001-4c65-b1ca-112d70670354,2/4/2023 1:40,,2/4/2023 1:40,,Jake Adler,,Inside the field,One crop,macadamia_nut,,,,Mature 100 year old trees suspected by farmer! Mac nuts with rat holes. ,-157.0488071,21.16629333
44,1693fcbb-6ba4-441e-a156-4b706a7874fd,2/4/2023 1:40,,2/4/2023 1:40,,Hannah,,On the edge of the field,One crop,macadamia_nut,,,,,-157.0488284,21.16627395
45,1b45a266-c968-4960-b48c-5c45dd4d47b4,2/4/2023 1:41,,2/4/2023 1:41,,Kira Kai Yamazaki-Gray,,Inside the field,One crop,macadamia_nut,,,,,-157.0487985,21.16626788
46,a75d9934-d9a6-43d3-b8c3-afa01e09dbc4,2/4/2023 1:41,,2/4/2023 1:41,,Miliopuna Davis,,Inside the field,One crop,macadamia_nut,,,,"
Macadamia nui cracked open by rodents",-157.048831,21.16626063
47,823d0a07-ef40-42b5-9537-1f6a284ef6eb,2/4/2023 1:56,,2/4/2023 1:56,,Kahakuhailoa Poepoe,,Inside the field,One crop,macadamia_nut,,,,,-157.0482667,21.16629289
48,3f6e011b-253e-4187-9c2b-0602e0fba6f1,2/4/2023 1:58,,2/4/2023 1:58,,Hannah,,Inside the field,Multiple crops,"macadamia_nut,tropical_fruits",,macadamia nut,,Mango trees are the tropical fruits. Black plastic in the soil. ,-157.047602,21.16645455
49,1d742e86-b184-48c3-a49d-6e2dcdf40fd9,2/4/2023 1:58,,2/4/2023 1:58,,Jake Adler,,Inside the field,Multiple crops,"tropical_fruits,macadamia_nut",,macadamia nut,,Mangos and Mac nuts almost 50-50. Black plastic noted in soil. ,-157.0476338,21.16645687
50,173e4ead-cb1f-4238-9b88-46a8d518fc4c,2/4/2023 1:58,,2/4/2023 1:58,,Miliopuna Davis,,Inside the field,Multiple crops,"macadamia_nut,tropical_fruits",,macadamia nut,,Mango trees as the tropical fruit. Black plastic stuck in the soiled.,-157.0476257,21.16640927
51,b8c437cc-81be-443e-b837-40d751a62fec,2/4/2023 1:58,,2/4/2023 1:58,,Kira Kai Yamazaki-Gray,,Inside the field,Multiple crops,"macadamia_nut,tropical_fruits",,macadamia nut,,"Mango trees are the tropical fruits, black plantation plastic in soil, farm road in the middle of field.",-157.0476155,21.16642839
52,f47388c8-7857-40ce-8031-92f7b5ca88a8,2/4/2023 1:58,,2/4/2023 1:58,,Wailana ,,Inside the field,One crop,macadamia_nut,,,,"Evidence of Rats/Mice 
Spiderwebs around trees and branches ",-157.0487949,21.16625418
53,a99d78d6-2410-4aae-bff8-48efdc83c53d,2/4/2023 1:59,,2/4/2023 1:59,,Wailana,,Inside the field,Multiple crops,"macadamia_nut,tropical_fruits",,macadamia nut,,"Tropical fruits = mango
Plantation Plastic under soil ",-157.0476254,21.16644325
54,eaa303da-7aa7-4242-8180-dc801e580280,2/4/2023 2:00,,2/4/2023 2:00,,Kahakuhailoa Poepoe,,Inside the field,Multiple crops,"macadamia_nut,tropical_fruits",,macadamia nut,,Mango trees are the tropical fruits. Black plastic in the soil,-157.047637,21.16643859
55,9cbf13ac-7e41-46be-9405-8cd669a10fc2,2/4/2023 2:10,,2/4/2023 2:10,,Kairee ,,On the edge of the field,One crop,macadamia_nut,,,,,-157.0488022,21.16625334
56,f511f932-c162-4d50-a4b0-4388f97d587f,2/4/2023 2:10,,2/4/2023 2:10,,Kairee,,On the edge of the field,Multiple crops,"macadamia_nut,other",mangoes,macadamia nut,,"mango trees, black plastic in soil from pineapple industry ",-157.0476099,21.16643851
57,5cc005aa-3c5d-4704-8348-925aa3df7e27,2/4/2023 3:32,,2/4/2023 3:32,,Charlotte Cabaccang,,On the edge of the field,Multiple crops,other,"Peas, Papaya, pumpkin, avocado, orange, longan",other,Peas,,-156.5006715,20.90251705
58,b7ca668e-ed69-4370-9839-68bfc35ab2dd,2/4/2023 19:41,,2/4/2023 19:41,,jerry isdale,,On the edge of the field,Multiple crops,"mai`a_(banana),kalo_(taro),other",young minds,,,,-156.5031932,20.82836162
59,2d35e8ec-25ce-4ccd-912c-f9526dcb16ee,2/4/2023 19:48,,2/4/2023 19:48,,jerry isdale,,On the edge of the field,Multiple crops,"mai`a_(banana),other,sugarcane",dicon radish,,,,-156.5023375,20.82940108
60,620269e7-0659-49c1-91fd-e2adf124763a,2/4/2023 19:58,,2/4/2023 19:58,,Joshua D Hinau-Nanod,,On the edge of the field,Fallow,,,,,,-156.5019874,20.82948531
61,d28f2c5b-3b9f-4fae-8f45-a8ea8708926c,2/4/2023 19:58,,2/4/2023 19:58,,Jeffrey wayer,,On the edge of the field,One crop,kalo_(taro),,,,App test at Kalo field ,-156.501242,20.82909827
62,4fc76f6a-5c0b-4215-8367-ab8b1ba5c20f,2/4/2023 19:59,,2/4/2023 19:59,,Charlotte Cabaccang,,Inside the field,One crop,kalo_(taro),,,,They use cut grass as mulch,-156.5011486,20.82933775
63,d2e5fd3a-7443-42fc-bbe6-0302ec92e090,2/4/2023 20:00,,2/4/2023 20:00,,Rohan Fahland,,Inside the field,One crop,kalo_(taro),,,,Dry land taro,-156.5014787,20.8287496
64,1192eff9-948b-4ab6-92a0-d595e66a0b52,2/4/2023 20:00,,2/4/2023 20:00,,Sean McCormick,,Inside the field,One crop,kalo_(taro),,,,,-156.5010919,20.82976315
65,71d7a9c6-1500-4bcb-b9f3-f2961add4e90,2/4/2023 20:02,,2/4/2023 20:02,,Joshua D Hinau-Nanod,,Inside the field,One crop,kalo_(taro),,,,,-156.5012116,20.82956605
66,7888a7db-1411-4af5-91b6-654ee646ca59,2/4/2023 20:02,,2/4/2023 20:02,,Brigette Tomas,,Inside the field,Multiple crops,"kalo_(taro),sugarcane",,kalo (taro),,"No fence surrounding 
Drip irriagation 
Wood chips mulch 
",-156.5014567,20.82909665
67,8414123c-6b30-4476-8f09-6ea156092fcc,2/4/2023 20:04,,2/4/2023 20:04,,Rohan Fahland,,On the edge of the field,Fallow,,,,,,-156.5014226,20.82949231
68,6b12e12e-afe4-4dab-b7af-c3c59e24b14c,2/4/2023 20:04,,2/4/2023 20:04,,Anna Galbreath,,Inside the field,One crop,kalo_(taro),,kalo (taro),,,-156.5010138,20.82897569
69,bdaf8930-52b5-4984-9ddc-abe5b80a5d49,2/4/2023 20:04,,2/4/2023 20:04,,Joshua D Hinau-Nanod,,On the edge of the field,Fallow,,,,,,-156.5012996,20.82975197
70,05c98713-33b2-4fa3-8288-32eb7ae1c054,2/4/2023 20:06,,2/4/2023 20:06,,Paige Moffitt,,Inside the field,Multiple crops,other,peanut ,,,"mixed field with peanuts , okra, and a root vegetable that I can no identify.  These crops are in between two fallow fields ",-156.5022504,20.82949853
71,4cd0c4ca-d3cd-4e9a-82d6-0069ebc87b0a,2/4/2023 20:06,,2/4/2023 20:06,,Nicholas Adams,,Inside the field,Multiple crops,"kalo_(taro),sugarcane",,kalo (taro),,"Mulch, no fence ",-156.5013531,20.82893216
72,b2bc85c1-20f6-40d1-aa32-a391a9ce264c,2/4/2023 20:07,,2/4/2023 20:07,,Charlotte Cabaccang,,Inside the field,One crop,other,Pumpkin,,,,-156.5002591,20.82915332
73,12caceea-5947-43a5-84ca-0b7dad8567f0,2/4/2023 20:08,,2/4/2023 20:08,,Nicolette van der Lee,,Inside the field,Multiple crops,"mai`a_(banana),other","okra, mixed veg",other,mixed veg,use of plastic weed suppressant; no fence,-156.5022138,20.82935822
74,37ea01b3-407a-4fc3-8983-13990af30c77,2/4/2023 20:09,,2/4/2023 20:09,,jerr isdale,,On the edge of the field,Multiple crops,"mai`a_(banana),sugarcane,other","ocra,dicon, peanut",,,,-156.5022285,20.82959182
75,93741b6a-9908-49b0-ba2e-36cb4a8ebe9b,2/4/2023 20:10,,2/4/2023 20:10,,Sean McCormick,,Inside the field,Multiple crops,"`uala_(sweet_potato),other",Radish,,,,-156.5017376,20.82908044
76,9ed36a48-41ea-47d5-b796-1d1274107da5,2/4/2023 20:12,,2/4/2023 20:12,,Sean,,Inside the field,Fallow,,,,,Looks like some Taro but mostly fallow (~80-90%),-156.5018011,20.82878152
77,734d1553-4db1-42d1-81cd-7cfeeb4abb74,2/4/2023 20:16,,2/4/2023 20:16,,Paige Moffitt ,,Inside the field,One crop,kalo_(taro),,kalo (taro),,,-156.501179,20.82981214
78,c17700fa-9e7d-4a02-8233-dd09f37de8b4,2/4/2023 20:20,,2/4/2023 20:20,,Jeffrey wayer,,On the edge of the field,One crop,"kalo_(taro),macadamia_nut",,,,App test ,-156.5013054,20.82914628
79,52d2c2f8-2747-4894-9351-d1e573947bd0,2/4/2023 20:34,,2/4/2023 20:34,,Jeffrey wayer,,Inside the field,Fallow,,,,,App test empty field ,-156.5006359,20.82837615
80,4c2cacb2-b48e-44bc-951a-e9c7f5ec00aa,2/4/2023 20:38,,2/4/2023 20:38,,Rohan Fahland,,Inside the field,Fallow,,,,,Sugar cane border,-156.5013973,20.82773278
81,a624fe60-d1e9-47ac-bf31-200b03c2ef36,2/4/2023 20:39,,2/4/2023 20:39,,Joshua D Hinau-Nanod,,Inside the field,Fallow,,,,,Boarded by cane grass,-156.5009858,20.82759437
82,30494e68-e5d4-45dd-9a23-2acee3ed41ba,2/4/2023 20:39,,2/4/2023 20:39,,Charlotte Cabaccang,,Inside the field,Fallow,,,,,Fallow with cane grass on either side,-156.5015105,20.82829566
83,3aa6b0cb-88bc-47c7-b5bf-17d0f65f7caa,2/4/2023 20:40,,2/4/2023 20:40,,Anna Galbreath,,Inside the field,Multiple crops,other,"Radishes, ",not applicable,,,-156.5018569,20.82906891
84,31fc61da-8528-4bf2-b2f7-3fe93cdc7f24,2/4/2023 20:40,,2/4/2023 20:40,,Nicholas Adams,,Inside the field,Fallow,,,,,Windbreak of cane grass on either side,-156.50148,20.82800977
85,ee0ba9ad-59d2-4c09-b19e-0c4f1976d5ef,2/4/2023 20:40,,2/4/2023 20:40,,Anna Galbreath,,On the edge of the field,Fallow,sugarcane,,sugarcane,,There are rows of sugarcane with plenty of fallow between each row.,-156.5018851,20.82858591
86,c1343c82-bceb-4a0b-aab7-3055174dccba,2/4/2023 20:41,,2/4/2023 20:41,,Anna Galbreath ,,Inside the field,Fallow,,,,,,-156.5007497,20.8282965
87,91cffc88-6720-4649-9ea8-fd472f46803a,2/4/2023 20:41,,2/4/2023 20:41,,Joshua D Hinau-Nanod,,Inside the field,Fallow,,,,,,-156.5012084,20.82719989
88,bbbdc7dc-71ff-4692-88d5-9f9f24ebeedf,2/4/2023 20:41,,2/4/2023 20:41,,Sean McCormick,,Inside the field,Fallow,,,,,Sugar Cane border no fence,-156.5010431,20.82733782
89,54291066-e35f-4283-883d-394d660fe76e,2/4/2023 20:42,,2/4/2023 20:42,,Charlotte Cabaccang,,Inside the field,Fallow,,,,,Has strips of sugar cane on either side. Used plastic to cover most of the soil,-156.5013879,20.8282242
90,80c1831c-7e73-4ca3-bf59-30f76c8efa04,2/4/2023 20:42,,2/4/2023 20:42,,Brigette Tomas,,Inside the field,Fallow,,,,,"Cane grass as windbreak
",-156.5010257,20.82782578
91,ea62124a-6491-4719-9efc-d6064a35516d,2/4/2023 20:45,,2/4/2023 20:45,,Charlotte Cabaccang,,Inside the field,Fallow,,,,,Fallow with strips of sugar cane in either side. Mostly uses plant cuttings and some plastic to cover the soil.,-156.5006647,20.82794626
92,acd5d5b7-10df-427c-ba3b-11792434c785,2/4/2023 20:52,,2/4/2023 20:52,,Hannah,,Inside the field,Fallow,,,,,,-156.5014405,20.82828658
93,91fdb373-3b98-4f3d-914b-6fe60b29d521,2/4/2023 21:59,NASAHarvestCollector_UofMD,2/4/2023 21:59,NASAHarvestCollector_UofMD,Catherine Nakalembe,,Inside the field,One crop,kalo_(taro),,,,,-156.5012001,20.82897228
94,a6ff6821-5beb-4488-beac-5ce7564120a5,2/4/2023 23:17,,2/4/2023 23:17,,Dustin Palos,,Inside the field,Multiple crops,other,"Bitter melon, okra, mixed greens",,,"Farmer no present, no fence, ",-156.5022537,20.82933968
95,2462a828-3c41-413a-9628-e38ede91f55f,2/4/2023 23:17,,2/4/2023 23:17,,Julian Marcus Boone-Rogers,,Inside the field,Multiple crops,"coffee,tropical_fruits,sugarcane,`ulu_(breadfruit),`uala_(sweet_potato)",,other,,Dominant crop is Sweet Potato,-156.4799554,20.8925674
96,75705955-d5a0-407b-b833-e1ce57210c03,2/4/2023 23:17,,2/4/2023 23:17,,Julian Boone,,Inside the field,Multiple crops,other,Bitter Melon Okra Radish,not applicable,,3 crops of diffferent levels,-156.5022565,20.82932388
97,60510564-c6bf-4fb9-a5a2-a57fd9c8523d,2/4/2023 23:17,,2/4/2023 23:17,,Julian Boone,,Inside the field,One crop,kalo_(taro),,,,Large field with a wind break made of sugar cane on the south side,-156.501547,20.82862708
98,b290be16-f407-4011-be72-0388199f8d94,2/4/2023 23:17,,2/4/2023 23:17,,Julian Boone,,Inside the field,Fallow,other,Fallow,,,Fallo win between fields ,-156.5016479,20.82945986
99,240a4b19-686c-40e7-9476-262a7e08fb01,2/4/2023 23:17,,2/4/2023 23:17,,Julian Boone,,Inside the field,Fallow,,,,,Wind breaks on both sides made of sugarcane,-156.5015867,20.82757427
100,00f9c004-ecee-495d-ad93-ded0a2971a9a,2/5/2023 1:19,,2/5/2023 1:19,,Mary Alleca,,On the edge of the field,Fallow,,,,,"Tilled field, ready for planting.",-156.5022183,20.8296259
101,71c6838f-b1f2-44c3-b1d9-1939cda3f63f,2/5/2023 1:19,,2/5/2023 1:19,,Mary Alleca,,Inside the field,Multiple crops,other,"Okra, tomato",,,,-156.5005281,20.82884508
102,03cb0552-6478-43e8-ba40-c5128a92c801,2/5/2023 1:19,,2/5/2023 1:19,,Mary Alleca,,Inside the field,Fallow,,,,,Border cane grass and coconut,-156.5018879,20.82740467
103,6b18d684-93f2-417f-9965-ac360b16beaf,2/5/2023 1:19,,2/5/2023 1:19,,Mary Alleca,,Inside the field,One crop,niu_(coconut),,,,"Borders of road and banana, no fence",-156.5012199,20.82690729
104,9157ab3e-84d7-4251-a153-2cf0ad72945e,2/5/2023 1:19,,2/5/2023 1:19,,Mary Alleca,,Inside the field,One crop,"tropical_fruits,mai`a_(banana)",,,,"Rows of citrus and banana with cane grass and coconut field borders, no fence",-156.5015892,20.82689792
105,355eb074-1025-47d4-8edc-7d0035627eee,2/10/2023 20:31,,2/10/2023 20:31,,Jeffrey Wayer,,Inside the field,Multiple crops,"vegetables_(e.g._leafy_greens_c,other","Radishes, cabbages ",other,Radishes ,"Make their own mulch 
Has occasionally problems with nema toads and fungus ",-156.2985941,20.89985311
106,e5853ee5-4073-4794-88e7-780e5d655a83,2/10/2023 20:34,,2/10/2023 20:34,,Jeffrey wayer ,,Inside the field,Multiple crops,niu_(coconut),,niu (coconut),,"A few banana trees grown with the coconuts 
",-156.2987584,20.90009871
107,c8fd7bc2-2de5-47b7-8585-b0cfb2c6540b,2/10/2023 20:35,,2/10/2023 20:35,,Brigette Tomas,,Inside the field,Multiple crops,other,"Finger lime, Lime, Key lime, Orange ",not applicable,,All citrus fruits,-156.2986463,20.89988772
108,df303dc4-9179-4782-9039-28dac84bf6f5,2/10/2023 20:36,,2/10/2023 20:36,,Jeffrey wayer ,,Inside the field,One crop,tropical_fruits,,,,Papaya ,-156.298583,20.89999329
109,78c8f1eb-bf62-4ac1-a75d-f4a82dad37af,2/10/2023 20:40,,2/10/2023 20:40,,Jeffrey wayer,,On the edge of the field,Multiple crops,"`ulu_(breadfruit),mai`a_(banana),macadamia_nut",,mai`a (banana),,Grown in a small grove ,-156.2988705,20.8999038
110,f5eb0b5d-a11d-49c0-ae72-1db755dbb63b,2/10/2023 20:49,,2/10/2023 20:49,,Jeffrey wayer,,Inside the field,One crop,kalo_(taro)_-_mala_(dryland),,,,"Uses homemade mulch 
Some problems with fungus and nematodes ",-156.2986247,20.89998014
111,a6865d24-b4ba-40a1-878c-e87907844754,2/10/2023 20:49,,2/10/2023 20:49,,Brigette Tomas,,Inside the field,One crop,kalo_(taro)_-_mala_(dryland),,,,Fungus and nematode problems on farm,-156.298673,20.89994882
112,816bdc2a-2ffb-4d20-b000-cb7cd63ffe34,2/10/2023 20:50,,2/10/2023 20:50,,Jeffrey wayer ,,Inside the field,Multiple crops,"niu_(coconut),mai`a_(banana)",,mai`a (banana),,,-156.2987909,20.89976977
113,064e6bbe-2369-4246-9de3-bec9327fb5d4,2/10/2023 20:53,,2/10/2023 20:53,,Jeffrey wayer ,,Inside the field,Multiple crops,"`ulu_(breadfruit),tropical_fruits",,`ulu (breadfruit),,,-156.2985976,20.89970898
114,8044927a-9555-46a6-9dfe-bec9816b9718,2/10/2023 20:55,,2/10/2023 20:55,,Jeffrey wayer ,,Inside the field,Multiple crops,"tropical_fruits,other",Caco tree ,other,Caco tree,Caco field with some tropical fruits- orange and lemon ,-156.2984753,20.89967224
115,ecab508d-4b1e-43a0-af5b-c52d44cde47d,2/10/2023 20:57,,2/10/2023 20:57,,Brigette Tomas,,Inside the field,Multiple crops,other,"Citrus, Calamansi tree",,,Fungi and Nematode problem on farm,-156.2983516,20.89969643
